name,category,tvl_usd,num_chains,avax_only,slug,label
Aave V3,Lending,25143080097.922592,20,False,aave-v3,alive
Pendle,Yield,2277133745.3179574,11,False,pendle,alive
Curve DEX,Dexs,1858635062.2138011,30,False,curve-dex,alive
Spark Liquidity Layer,Onchain Capital Allocator,1780527779.8182218,6,False,spark-liquidity-layer,alive
Uniswap V3,Dexs,1480845077.5278234,41,False,uniswap-v3,alive
Spark Savings,Yield,1284506778.957158,6,False,spark-savings,alive
Uniswap V2,Dexs,844078753.2030617,12,False,uniswap-v2,alive
Uniswap V4,Dexs,617228841.8684316,15,False,uniswap-v4,alive
Euler V2,Lending,501334676.6838982,16,False,euler-v2,alive
Tornado Cash,Privacy,462015997.91095126,8,False,tornado-cash,alive
MEV Capital,Risk Curators,306421081.3126577,11,False,mev-capital,alive
Upshift,Onchain Capital Allocator,303451306.47131544,11,False,upshift,alive
GMX V2 Perps,Derivatives,246519891.57879117,3,False,gmx-v2-perps,alive
K3 Capital,Risk Curators,242165807.37496045,7,False,k3-capital,alive
Multipli.fi,Yield,232379262.5082659,4,False,multipli.fi,alive
Benqi Staked Avax,Liquid Staking,199189785.3484579,1,True,benqi-staked-avax,alive
PinkSale,Launchpad,168036459.65198588,6,False,pinksale,alive
Treehouse Protocol,DOR,148778388.3030563,3,False,treehouse-protocol,alive
Stake DAO,Yield,144526125.97842327,10,False,stake-dao,alive
Beefy,Yield Aggregator,138660544.7010144,40,False,beefy,alive
Benqi Lending,Lending,135075306.31723237,1,True,benqi-lending,alive
Aave V2,Lending,128400452.2986812,3,False,aave-v2,alive
UNCX Network V2,Token Locker,116053798.11990093,7,False,uncx-network-v2,alive
Avant avUSD,Basis Trading,110344124.1656371,1,True,avant-avusd,alive
Homora V2,Leveraged Farming,110273717.07445696,5,False,homora-v2,alive
Aura,Yield,106721087.07122216,9,False,aura,alive
Lagoon,Onchain Capital Allocator,105167708.26240604,16,False,lagoon,alive
Re7 Labs,Risk Curators,102485081.05190995,15,False,re7-labs,alive
Balancer V3,Dexs,94985074.0268724,8,False,balancer-v3,alive
Balancer V2,Dexs,74319786.67742397,9,False,balancer-v2,alive
SushiSwap V3,Dexs,65485476.46827308,29,False,sushiswap-v3,alive
Thorchain DEX,Dexs,61558970.00572322,12,False,thorchain-dex,alive
SushiSwap,Dexs,61441576.86929007,38,False,sushiswap,alive
ZEROBASE CeDeFi,Basis Trading,55107210.032843,7,False,zerobase-cedefi,alive
Solv Strategies,Onchain Capital Allocator,51645388.15789958,5,False,solv-strategies,alive
Tulipa Capital,Risk Curators,50203503.87218164,8,False,tulipa-capital,alive
Silo V2,Lending,47275230.58149349,4,False,silo-v2,alive
Team Finance,Token Locker,45925799.447291456,17,False,team-finance,alive
Blackhole CLMM,Dexs,45052175.7748898,1,True,blackhole-clmm,alive
IPOR Fusion,Yield Aggregator,39984056.171783,8,False,ipor-fusion,alive
Superform,Yield Aggregator,36136652.54741128,10,False,superform,alive
YieldFi,Yield Aggregator,33276325.698705867,13,False,yieldfi,alive
Vesper,Yield Aggregator,33104068.93916657,5,False,vesper,alive
Spectra V2,Yield,31471774.908699427,12,False,spectra-v2,alive
Joe V2.2,Dexs,31386076.676309288,3,False,joe-v2.2,alive
vfat.io,Yield Aggregator,30538872.28649701,18,False,vfat.io,alive
Steer Protocol,Liquidity manager,27369395.71659911,42,False,steer-protocol,alive
Pharaoh V3,Dexs,27287291.235263366,1,True,pharaoh-v3,alive
DxSale,Launchpad,26013965.826960266,22,False,dxsale,alive
40 Acres,Lending,21500891.07023524,3,False,40-acres,alive
XSY,Basis Trading,20971420.21447211,1,True,xsy,alive
Hypha,Liquid Staking,20250295.026091944,1,True,hypha,alive
Ankr,Liquid Staking,20034458.61237419,8,False,ankr,alive
Contango V2,Derivatives,15848577.373605926,10,False,contango-v2,alive
DODO AMM,Dexs,15657537.22713644,15,False,dodo-amm,alive
TermFinance Vaults,Yield,15277384.4590809,6,False,termfinance-vaults,alive
Yield Yak Aggregator,Yield Aggregator,15144807.558932956,3,False,yield-yak-aggregator,alive
Folks Finance xChain,Lending,14571169.006450372,8,False,folks-finance-xchain,alive
Frax Swap,Dexs,13928689.609821543,10,False,frax-swap,alive
Joe DEX,Dexs,13242065.21635303,4,False,joe-dex,alive
FlokiFi Locker,Token Locker,10689563.96125526,15,False,flokifi-locker,alive
ACryptoS,Liquidity manager,10561955.547775736,17,False,acryptos,alive
Abracadabra Spell,CDP,10453153.076895926,8,False,abracadabra-spell,alive
MUX Perps,Derivatives,8857588.778951995,5,False,mux-perps,alive
BiFi,Lending,8363610.101144635,5,False,bifi,alive
Bitbond Lockers,Token Locker,7806717.984820917,7,False,bitbond-lockers,alive
Royco V2,Yield,7560538.027076767,2,False,royco-v2,alive
Turtle Club,Onchain Capital Allocator,6702653.710669225,3,False,turtle-club,alive
WOOFi Earn,Yield,6299400.090505236,9,False,woofi-earn,alive
Keyring,Risk Curators,6224494.751305107,1,True,keyring,alive
Blackhole AMM,Dexs,6188615.945033834,1,True,blackhole-amm,alive
Balanced Exchange,Dexs,6000499.164253278,11,False,balanced-exchange,alive
Avant avBTC,Onchain Capital Allocator,5905061.831239332,1,True,avant-avbtc,alive
Pharaoh CL,Dexs,5836584.474135806,1,True,pharaoh-cl,alive
WOOFi Swap,Dexs,5655714.560720462,16,False,woofi-swap,alive
Autofarm,Yield Aggregator,5584560.879882226,20,False,autofarm,alive
Angle,CDP,5402562.27681658,8,False,angle,alive
Gamma,Liquidity manager,4492995.087901323,36,False,gamma,alive
DeltaPrime,Leveraged Farming,4163809.046833371,2,False,deltaprime,alive
Sierra Protocol,Yield,3756259.180256767,1,True,sierra-protocol,alive
Joe V2.1,Dexs,3703730.423893108,4,False,joe-v2.1,alive
Pharaoh Legacy,Dexs,3556796.423749201,1,True,pharaoh-legacy,alive
Parallel Protocol V3,CDP,3524589.909384744,5,False,parallel-protocol-v3,alive
Ribbon,Options Vault,3426424.9862521365,4,False,ribbon,alive
QiDao,CDP,3357650.5022502653,14,False,qidao,alive
Wombat Exchange,Dexs,3288428.5750164785,7,False,wombat-exchange,alive
GMX V1 Perps,Derivatives,3080661.136577141,2,False,gmx-v1-perps,alive
Ploutos Money,Lending,3004837.355651922,9,False,ploutos-money,alive
Guru Network Classic,Yield,2992844.222260306,10,False,guru-network-classic,alive
Sushi BentoBox,Yield,2910360.6516375435,9,False,sushi-bentobox,alive
Dexalot DEX,Dexs,2780748.7419498083,5,False,dexalot-dex,alive
CORE Bridge,Canonical Bridge,2569066.131170624,7,False,core-bridge,alive
EmpireDEX,Dexs,2494882.734268723,9,False,empiredex,alive
Joe Lend,Lending,2329079.365180089,1,True,joe-lend,alive
Arena DEX,Dexs,1877093.5069936896,1,True,arena-dex,alive
OmniBTC,Lending,1864246.9500507351,8,False,omnibtc,alive
Gyroscope Protocol,Dexs,1808656.589877135,10,False,gyroscope-protocol,alive
Gro,Yield,1782520.445452371,2,False,gro,alive
Pangolin V2,Dexs,1748389.4744693,4,False,pangolin-v2,alive
Stable Jack V1,Yield,1512012.5988234356,1,True,stable-jack-v1,alive
ApeX Pro,Derivatives,1431820.0826897186,7,False,apex-pro,alive
Suzaku,Restaking,1382774.6675385237,1,True,suzaku,alive
Bridgers,Dexs,1181639.9428078297,16,False,bridgers,alive
TermFinance Lend,Lending,1175287.8437284671,4,False,termfinance-lend,alive
CIAN Automation,Yield,1042654.6499423918,3,False,cian-automation,alive
dForce Lending,Lending,1034843.2307136687,8,False,dforce-lending,alive
KyberSwap Classic,Dexs,1029819.2161995844,15,False,kyberswap-classic,alive
PumpSpace,Dexs,999966.568591949,1,True,pumpspace,alive
Kine Finance,Yield,971975.006455426,4,False,kine-finance,alive
Thetanuts Finance,Yield,933362.1430634124,11,False,thetanuts-finance,alive
Opyn Gamma,Options,891913.8780493033,3,False,opyn-gamma,alive
DefiEdge,Liquidity manager,878329.8333478232,14,False,defiedge,alive
Impermax V2,Lending,812379.6685747826,15,False,impermax-v2,alive
GMD Protocol,Yield Aggregator,800617.8409714673,2,False,gmd-protocol,alive
Pharaoh V3 Legacy,Dexs,793729.1014930023,1,True,pharaoh-v3-legacy,alive
Phuture,Indexes,792708.7073193672,2,False,phuture,alive
PoolTogether V4,Yield Lottery,753815.4743596639,4,False,pooltogether-v4,alive
Mint Club V2,Launchpad,735319.0320676652,13,False,mint-club-v2,alive
AquaBank,Yield,713874.9153646023,1,True,aquabank,alive
Clearpool Lending,Uncollateralized Lending,629285.0422545256,9,False,clearpool-lending,alive
Umami Finance,Yield,617492.8628898079,2,False,umami-finance,alive
Ajna V2,Lending,591703.0441458131,13,False,ajna-v2,alive
Hashflow,DEX Aggregator,576679.8294396861,6,False,hashflow,alive
Tarot,Lending,566426.6099449473,13,False,tarot,alive
BIM,Yield Aggregator,518955.4362124845,12,False,bim,alive
Beta Finance V1,Lending,508033.0783621677,2,False,beta-finance-v1,alive
RadioShack,Dexs,475682.2235927996,8,False,radioshack,alive
Secured Finance Lending,Lending,442113.91737197735,5,False,secured-finance-lending,alive
Yield Yak Staked Avax,Liquid Staking,440093.5085915282,1,True,yield-yak-staked-avax,alive
Geode,Liquid Staking,436930.47044534486,1,True,geode,alive
Antfarm finance,Liquidity manager,434433.1288966215,4,False,antfarm-finance,alive
Cytonic Airdrop Campaign,Farm,407820.002367697,11,False,cytonic-airdrop-campaign,alive
VaporDex V1,Dexs,397014.5316389227,3,False,vapordex-v1,alive
FortiFi,Yield Aggregator,395702.168790151,1,True,fortifi,alive
88mph,Lending,383801.7979927593,4,False,88mph,alive
Ante Finance,Insurance,380979.1958738071,8,False,ante-finance,alive
Prime Protocol,Lending,366012.462679929,9,False,prime-protocol,alive
Pangolin V3,Dexs,362064.6311401191,2,False,pangolin-v3,alive
Salvor,NFT Marketplace,350619.86925307586,1,True,salvor,alive
Iron Finance,CDP,315969.83359933336,3,False,iron-finance,alive
Jarvis Network,Derivatives,296223.43496704235,6,False,jarvis-network,alive
Snowball,Yield,295577.7783308485,1,True,snowball,alive
Napier,Yield,284158.18613172387,11,False,napier,alive
Clovis,Yield Aggregator,282946.8739003367,10,False,clovis,alive
Sushi Trident,Dexs,274513.6762576784,8,False,sushi-trident,alive
Diamondswap,Dexs,268605.7624002319,5,False,diamondswap,alive
Dyson,Liquidity manager,258222.2526639757,7,False,dyson,alive
SeaFi,Yield,237497.11984386755,1,True,seafi,alive
OnX Finance,Yield Aggregator,235049.08618854667,4,False,onx-finance,alive
Voltz,Derivatives,232871.09790520143,3,False,voltz,alive
Elk,Dexs,219033.54747551776,31,False,elk,alive
Iron Bank,Lending,209126.220699956,4,False,iron-bank,alive
OpenOcean,DEX Aggregator,184971.75876972405,8,False,openocean,alive
Arena SocialFi,SoFi,183271.10163712213,1,True,arena-socialfi,alive
Balmy,DCA Tools,182513.4124060628,10,False,balmy,alive
Impossible Finance,Launchpad,177594.1447848628,7,False,impossible-finance,alive
Joe V2,Dexs,157462.89640783146,3,False,joe-v2,alive
Granary Finance,Lending,152886.80558936234,8,False,granary-finance,alive
Xave Finance,Dexs,150000.58057916194,3,False,xave-finance,alive
Float,Derivatives,144357.96676461876,2,False,float,alive
Sushi Kashi,Lending,142338.75279725032,5,False,sushi-kashi,alive
Varlamore Capital,Risk Curators,140175.93498715456,4,False,varlamore-capital,alive
Nested,Indexes,136587.85503253771,6,False,nested,alive
InsurAce,Insurance,133820.602679136,4,False,insurace,alive
Cook Finance,Indexes,127049.55868304944,4,False,cook-finance,alive
Colony,Yield,119967.68626185044,1,True,colony,alive
KyberSwap Elastic,Dexs,118495.17098592909,11,False,kyberswap-elastic,alive
Domani Protocol,Indexes,92632.87760844931,3,False,domani-protocol,alive
xDollar,CDP,90959.24301234906,5,False,xdollar,alive
Olive Cash,Yield,88887.16712831978,3,False,olive-cash,alive
Revest Finance,NFT Lending,84907.49540036009,6,False,revest-finance,alive
Penguin Finance,Yield,83835.61581404421,1,True,penguin-finance,alive
Defrost,CDP,81194.4452897324,1,True,defrost,alive
Hubble Exchange,Derivatives,78174.96242874769,1,True,hubble-exchange,alive
StoneDefi,Yield Aggregator,70362.5873794079,4,False,stonedefi,alive
Nereus Finance,Lending,69906.68773555508,1,True,nereus-finance,alive
Token Mill,Launchpad,64222.777577191584,2,False,token-mill,alive
YieldWolf,Yield,62236.73132328156,7,False,yieldwolf,alive
Bitbond Sales,Launchpad,62056.382781629785,7,False,bitbond-sales,alive
SteakHut Liquidity,Liquidity manager,61120.98415324264,2,False,steakhut-liquidity,alive
OrderNChaos,Algo-Stables,60561.22521166142,5,False,ordernchaos,alive
GOLDSTATION DEX V3,Dexs,59753.97031089614,1,True,goldstation-dex-v3,alive
Complus Network,Dexs,59606.86142179919,4,False,complus-network,alive
Oddz,Options,59187.07788393579,2,False,oddz,alive
HunnySwap,Dexs,58357.12306246721,1,True,hunnyswap,alive
Definitive Yield Vaults,Yield,51961.50049403968,6,False,definitive-yield-vaults,alive
Frost Finance,Yield,51726.89397210548,1,True,frost-finance,alive
Stable Jack V2,Yield,48814.09547274661,3,False,stable-jack-v2,alive
Flair Dex,Dexs,48761.33503893331,1,True,flair-dex,alive
Lydia,Dexs,47543.65383435842,1,True,lydia,alive
Platypus Finance,Dexs,45788.56830237808,1,True,platypus-finance,alive
CougarSwap,Yield,42613.588885870486,8,False,cougarswap,alive
HurricaneSwap,Dexs,38853.37863906148,1,True,hurricaneswap,alive
ChainGPT,Launchpad,38782.709102897774,10,False,chaingpt,alive
Risk Harbor,Insurance,38751.77918839415,9,False,risk-harbor,alive
Axial,Dexs,37082.68866858547,1,True,axial,alive
BXH,Dexs,36929.60018974437,5,False,bxh,alive
HedgeFarm,Yield,36360.84775581577,1,True,hedgefarm,alive
EulerDebt,Secondary Debt Markets,36150.47574611403,5,False,eulerdebt,alive
WOWswap,Dexs,35222.72784695939,8,False,wowswap,alive
Poolside,Dexs,34953.96322513978,4,False,poolside,alive
0.exchange,Dexs,34319.633082868626,3,False,0.exchange,alive
Button Wrappers,CDP,33873.14330593075,4,False,button-wrappers,alive
EmiSwap,Dexs,33547.83805005922,7,False,emiswap,alive
DexPad,Launchpad,33173.74440125058,4,False,dexpad,alive
